merchant_id,created_by,updated_by,merchant_name,merchant_network,merchant_url,merchant_logo_url,merchant_status,merchant_private,created_at,updated_at,classic_merchant_id,group_responsible_for_balance,merchant_search,currency_id,sort_updated_at
ce411983-7346-4dd1-95f2-0d296df100dc,f2d8afd8-7de6-4858-8b5c-db12fb02072b,f2d8afd8-7de6-4858-8b5c-db12fb02072b,The Robert Axle Project,US,,"",contract,false,2018-08-17 20:53:24+00,2022-06-07 15:24:24+00,16941,,"'16941':14 'axle':3A,7A,12 'project':4A,8A,13 'robert':2A,6A,11 'robertaxleproject.com':9C 'the':1A,5A,10",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-06-07 15:24:24+00
b3042670-fdbd-46fc-8e12-747ad53a94c9,4b4880f5-cf94-4160-9680-be2265aa09b2,b87a085e-db6d-4710-8638-4672426c8eab,Mukha Yoga,US,,https://static.avantlink.com/merchant-logos/16825.png,active,true,2018-07-27 17:35:28+00,2022-06-07 15:34:14+00,16825,,"'16825':8 'mukha':1A,3A,6 'mukhayoga.com':5C 'yoga':2A,4A,7",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-06-07 15:24:24+00
0d9867d2-b340-445a-a511-7882c56683d7,4b4880f5-cf94-4160-9680-be2265aa09b2,4b4880f5-cf94-4160-9680-be2265aa09b2,Epic Golf Club,US,,"",contract,false,2022-07-26 23:51:49+00,2022-07-26 23:51:50+00,24809,,"'24809':11 'club':3A,6A,10 'epic':1A,4A,8 'epicgolfclub.com':7C 'golf':2A,5A,9",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-07-26 23:51:49+00
3276d996-05df-46c0-8077-7c69786697a4,4b4880f5-cf94-4160-9680-be2265aa09b2,b87a085e-db6d-4710-8638-4672426c8eab,Whim Boutique,US,,https://static.avantlink.com/merchant-logos/20853.png,disabled,true,2020-09-29 19:50:37+00,2022-07-27 15:36:36+00,20853,,"'20853':8 'boutique':2A,4A,7 'whim':1A,3A,6 'whimboutique.com':5C",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-07-27 15:36:36+00
fac37c2b-d5e3-4453-b22f-b1a147d6b577,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,HANGTIME LLC,US,,"",contract,false,2020-02-05 16:46:50+00,2022-06-07 15:24:24+00,19181,,"'19181':8 'hangtime':1A,3A,6 'hangtimegear.com':5C 'llc':2A,4A,7",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-06-07 15:24:24+00
2ca81118-b260-42de-8a65-9d53dffb9442,4b4880f5-cf94-4160-9680-be2265aa09b2,4b4880f5-cf94-4160-9680-be2265aa09b2,Systweak,US,,"",contract,false,2022-09-20 04:51:46+00,2022-09-20 04:51:47+00,25305,,"'25305':5 'systweak':1A,2A,4 'systweak.com':3C",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-09-20 04:51:46+00
f6a2e5fc-8601-4dba-83ea-9c96fb1e2714,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,3b4a8b32-eb6b-4f92-bb31-b280a17bee9b,Fieldsheer ,US,,https://static.avantlink.com/merchant-logos/24873.png,active,false,2022-08-04 02:20:18+00,2023-08-18 16:06:16+00,24873,,"'24873':5 'fieldsheer':1A,2A,4 'fieldsheer.com':3C",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2023-08-18 16:06:16+00
b3f14a0f-7001-4fb8-a3f6-c7a017af66ab,4b4880f5-cf94-4160-9680-be2265aa09b2,4b4880f5-cf94-4160-9680-be2265aa09b2,Williams and Kent,US,,"",contract,false,2022-11-23 15:38:49+00,2022-11-23 15:38:50+00,25805,,"'25805':11 'and':2A,5A,9 'kent':3A,6A,10 'williams':1A,4A,8 'williamsandkent.com':7C",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-11-23 15:38:49+00
05164162-1442-4a19-8563-4d7809c56475,4b4880f5-cf94-4160-9680-be2265aa09b2,4b4880f5-cf94-4160-9680-be2265aa09b2,BitMar Networks,US,,"",contract,false,2020-03-10 18:37:10+00,2022-06-07 15:24:24+00,19373,,"'19373':8 'bitmar':1A,3A,6 'bitmar.com':5C 'networks':2A,4A,7",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-06-07 15:24:24+00
69d54fa4-1f5c-42a7-ad6a-bb85f80eaf48,4b4880f5-cf94-4160-9680-be2265aa09b2,f2d8afd8-7de6-4858-8b5c-db12fb02072b,Itochu PROMINENT USA LLC,US,,"",disabled,true,2022-07-29 23:10:42+00,2022-09-23 17:40:44+00,24833,,"'24833':14 'itochu':1A,5A,10 'llc':4A,8A,13 'prominent':2A,6A,11 'stateofmatterapparel.com':9C 'usa':3A,7A,12",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-09-23 17:40:44+00
47e55550-833e-45ff-a0c5-d79478691828,100681b2-eac9-4e16-bcfe-aab26842181a,271d1f6d-719c-43a0-b202-b7aeb931c8f3,Pau Hana Supply ,US,,https://static.avantlink.com/merchant-logos/24869.png,active,false,2022-08-03 18:10:21+00,2022-09-26 20:13:28+00,24869,,"'24869':11 'hana':2A,5A,9 'pau':1A,4A,8 'pauhanasurfco.com':7C 'supply':3A,6A,10",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-09-26 20:13:28+00
cb43279e-f74e-4c1d-91ff-501896d7c898,4b4880f5-cf94-4160-9680-be2265aa09b2,44ade95f-c8b8-49e8-a6dc-b942239da99c,Hiboy ,US,,https://static.avantlink.com/merchant-logos/24841.png,active,false,2022-08-01 04:27:52+00,2023-06-27 07:42:20+00,24841,,"'24841':6 'hiboy':1A,2A,5 'hiboy.ca':3C 'hiboy.com':4C",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2023-06-27 07:42:20+00
8898599c-c32e-4802-a5ea-2905034bfdf0,4b4880f5-cf94-4160-9680-be2265aa09b2,271d1f6d-719c-43a0-b202-b7aeb931c8f3,Nordace Limited,US,,https://static.avantlink.com/merchant-logos/24865.png,active,false,2022-08-03 16:37:51+00,2022-10-03 19:54:55+00,24865,,"'/en/':7C '24865':10 'limited':2A,4A,9 'nordace':1A,3A,8 'nordace.com':6C 'nordace.com/en/':5C",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-10-03 19:54:55+00
51bbf01c-3a14-4cfb-90e6-26f597cec2ca,4b4880f5-cf94-4160-9680-be2265aa09b2,f2d8afd8-7de6-4858-8b5c-db12fb02072b,Chamois Butt'r,US,,"",disabled,true,2022-11-22 19:20:49+00,2022-11-23 16:53:25+00,25793,,"'25793':11 'butt':2A,5A,9 'chamois':1A,4A,8 'chamoisbuttr.com':7C 'r':3A,6A,10",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2022-11-23 16:53:25+00
ada178bd-2fa8-40ea-8fc2-510dfb318d6d,,5400a5e6-d7c4-43de-b99f-9040ff26caf7,Precious Moments,US,https://www.preciousmoments.com/,https://static.avantlink.com/merchant-logos/11193.png,disabled,true,2017-05-04 00:00:00+00,2023-07-03 15:46:46+00,11193,,"'11193':9 'moments':2A,4A,8 'precious':1A,3A,7 'preciousmoments.com':6C 'www.preciousmoments.com':5B",be487b38-85fd-11e8-ba62-0edee6d0e1d0,2023-07-03 15:46:46+00
